st,x,y,z,tss,Kedalaman,Berat Kering Kosong (g),Berat Kering Kosong (mg),Vol air (ml),Berat Kering Isi (g),Berat Kering Isi (mg),Berat Suspensi (mg/l),,,,No. Sta,No. Filter,No. Botol Sample
70,,,-25,59.2,25,0.076,76,250,0.0962,96.2,80.8,,,,15,36.2,53
71,,,-75,60.4,75,0.0753,75.3,250,0.0885,88.5,52.8,,,,,19.2,90
72,,,-150,60.4,150,0.076,76,250,0.0913,91.3,61.2,,,,,14.2,92
73,,,-250,60.8,250,0.0765,76.5,250,0.0975,97.5,84,,,,,37.2,24
74,,,-500,60.8,500,0.077,77,250,0.0939,93.9,67.6,,,,,27.2,27
75,,,-1000,61.2,1000,0.0743,74.3,250,0.0868,86.8,50,,,,,10,91
76,,,-25,61.2,25,0.0756,75.6,250,0.0874,87.4,47.2,,,,12,40.2,55
77,,,-50,61.6,50,0.0749,74.9,250,0.0877,87.7,51.2,,,,,39,39
78,,,-75,61.6,75,0.0758,75.8,250,0.0915,91.5,62.8,,,,,30.2,8
79,,,-150,62,150,0.0764,76.4,250,0.0951,95.1,74.8,,,,,9,16
80,,,-250,62,250,0.0752,75.2,250,0.0942,94.2,76,,,,,39.2,63
81,,,-500,62.4,500,0.0753,75.3,250,0.089,89,54.8,,,,,34.2,47
82,,,-25,62.8,25,0.0769,76.9,250,0.0877,87.7,43.2,,,,9,28,43
83,,,-50,63.6,50,0.0753,75.3,250,0.0894,89.4,56.4,,,,,17,6
84,,,-75,64,75,0.0768,76.8,250,0.0919,91.9,60.4,,,,,26,75biru
85,,,-150,64,150,0.0755,75.5,250,0.0882,88.2,50.8,,,,,21,14
86,,,-250,66,250,0.0757,75.7,250,0.0883,88.3,50.4,,,,,1,46
87,,,-500,67.2,500,0.0758,75.8,250,0.0934,93.4,70.4,,,,,35.2,65
88,,,-25,67.6,25,0.0754,75.4,250,0.0885,88.5,52.4,,,,5,36,97
89,,,-75,68.8,75,0.0767,76.7,250,0.0885,88.5,47.2,,,,,27,18
90,,,-150,69.2,150,0.0749,74.9,250,0.0888,88.8,55.6,,,,,35,5
91,,,-250,69.2,250,0.077,77,250,0.091,91,56,,,,,31.2,30
92,,,-500,69.2,500,0.075,75,250,0.095,95,80,,,,,13,60
93,,,-10,70.4,10,0.075,75,250,0.0877,87.7,50.8,,,,B3,7,57
94,,,-25,71.6,25,0.075,75,250,0.0945,94.5,78,,,,,4,11
95,,,-30,72,30,0.0747,74.7,250,0.097,97,89.2,,,,,2,75
96,,,-10,73.6,10,0.0749,74.9,250,0.0903,90.3,61.6,,,,6,25.2,94
97,,,-25,74,25,0.0743,74.3,250,0.0863,86.3,48,,,,,25,54
98,,,-75,74.4,75,0.0748,74.8,250,0.0865,86.5,46.8,,,,,37,32
99,,,-150,74.4,150,0.0753,75.3,250,0.0893,89.3,56,,,,,32,4
100,,,-200,74.8,200,0.0757,75.7,250,0.0911,91.1,61.6,,,,,16,68
101,,,-10,75.2,10,0.0752,75.2,250,0.092,92,67.2,,,,13,14,64
102,,,-25,75.6,25,0.0748,74.8,250,0.0871,87.1,49.2,,,,,23,71
103,,,-50,76,50,0.0755,75.5,250,0.087,87,46,,,,,28.2,99
104,,,-75,76.4,75,0.0756,75.6,250,0.0891,89.1,54,,,,,33,105
105,,,-150,78,150,0.0758,75.8,250,0.0906,90.6,59.2,,,,,38,106
106,,,-250,78,250,0.0747,74.7,250,0.0882,88.2,54,,,,,9.2,103
107,,,-75,79.6,75,0.0768,76.8,250,0.0889,88.9,48.4,,,,10,31,81
108,,,-150,80,150,0.0767,76.7,250,0.0905,90.5,55.2,,,,,22,93
109,,,-250,80.8,250,0.0748,74.8,250,0.0947,94.7,79.6,,,,,3,35
110,,,-300,84,300,0.0753,75.3,250,0.0978,97.8,90,,,,,5,81
111,,,-10,88,10,0.0766,76.6,250,0.0888,88.8,48.8,,,,B2,38.2,88
112,,,-25,89.2,25,0.0767,76.7,250,0.092,92,61.2,,,,,21.2,3
113,,,-50,90,50,0.0764,76.4,250,0.0943,94.3,71.6,,,,,22.2,29
