st,x,y,z,tss,month,location
2,1,2,0,146.4,jun,Ambon Bay
3,1,3,0,34,jun,Ambon Bay
3,1,3,-14,58.4,jun,Ambon Bay
4,1,4,0,18.4,jun,Ambon Bay
4,1,4,-22,51.2,jun,Ambon Bay
5,1,5,0,19.2,jun,Ambon Bay
5,1,5,-13,1520.4,jun,Ambon Bay
6,1,6,0,26.8,jun,Ambon Bay
6,1,6,-28,44,jun,Ambon Bay
7,2,1,0,20.8,jun,Ambon Bay
7,2,1,-45,1402,jun,Ambon Bay
8,2,2,0,23.6,jun,Ambon Bay
8,2,2,-17,39.6,jun,Ambon Bay
9,2,3,0,30.8,jun,Ambon Bay
9,2,3,-51,42.4,jun,Ambon Bay
10,2,4,-50,28,jun,Ambon Bay
10,2,4,0,30,jun,Ambon Bay
11,2,5,0,29.2,jun,Ambon Bay
11,2,5,-50,35.2,jun,Ambon Bay
12,2,6,-50,34.4,jun,Ambon Bay
12,2,6,0,35.2,jun,Ambon Bay
13,3,1,0,28,jun,Ambon Bay
13,3,1,-50,31.6,jun,Ambon Bay
14,3,2,0,32,jun,Ambon Bay
14,3,2,-50,40.8,jun,Ambon Bay
15,3,3,-50,32,jun,Ambon Bay
15,3,3,0,32,jun,Ambon Bay
16,3,4,0,32,jun,Ambon Bay
16,3,4,-52,34.4,jun,Ambon Bay
17,3,5,0,31.2,jun,Ambon Bay
17,3,5,-50,35.2,jun,Ambon Bay
18,3,6,0,30.4,jun,Ambon Bay
18,3,6,-50,32,jun,Ambon Bay
1,1,1,-32,50.4,jul,Ambon Bay
1,1,1,0,73.6,jul,Ambon Bay
2,1,2,0,33.2,jul,Ambon Bay
2,1,2,-23,1658,jul,Ambon Bay
3,1,3,0,25.2,jul,Ambon Bay
3,1,3,-14,48.4,jul,Ambon Bay
4,1,4,0,34.4,jul,Ambon Bay
4,1,4,-22,81.2,jul,Ambon Bay
5,1,5,0,37.2,jul,Ambon Bay
5,1,5,-13,44.4,jul,Ambon Bay
6,1,6,0,29.6,jul,Ambon Bay
6,1,6,-28,74.8,jul,Ambon Bay
7,2,1,0,36.4,jul,Ambon Bay
7,2,1,-45,76.8,jul,Ambon Bay
8,2,2,0,40,jul,Ambon Bay
8,2,2,-17,56,jul,Ambon Bay
9,2,3,0,62.8,jul,Ambon Bay
9,2,3,-51,214,jul,Ambon Bay
10,2,4,0,64,jul,Ambon Bay
10,2,4,-50,70.4,jul,Ambon Bay
11,2,5,0,56.4,jul,Ambon Bay
11,2,5,-50,64,jul,Ambon Bay
12,2,6,-50,58.8,jul,Ambon Bay
12,2,6,0,92,jul,Ambon Bay
13,3,1,-50,62.8,jul,Ambon Bay
13,3,1,0,70,jul,Ambon Bay
14,3,2,-50,70.8,jul,Ambon Bay
14,3,2,0,146.8,jul,Ambon Bay
15,3,3,-50,52.8,jul,Ambon Bay
15,3,3,0,53.6,jul,Ambon Bay
16,3,4,-52,60.4,jul,Ambon Bay
16,3,4,0,62.8,jul,Ambon Bay
17,3,5,-50,108.8,jul,Ambon Bay
17,3,5,0,270,jul,Ambon Bay
18,3,6,0,48,jul,Ambon Bay
18,3,6,-50,59.2,jul,Ambon Bay
1,1,1,0,69.6,aug,Ambon Bay
1,1,1,-32,87.2,aug,Ambon Bay
2,1,2,-23,97.6,aug,Ambon Bay
2,1,2,0,2056.4,aug,Ambon Bay
3,1,3,-14,79.6,aug,Ambon Bay
3,1,3,0,82.4,aug,Ambon Bay
4,1,4,-22,68.4,aug,Ambon Bay
4,1,4,0,78.4,aug,Ambon Bay
5,1,5,0,62.8,aug,Ambon Bay
5,1,5,-13,80,aug,Ambon Bay
6,1,6,-28,44.4,aug,Ambon Bay
6,1,6,0,57.2,aug,Ambon Bay
7,2,1,0,27.6,aug,Ambon Bay
7,2,1,-45,90.4,aug,Ambon Bay
8,2,2,0,68.4,aug,Ambon Bay
8,2,2,-17,76.4,aug,Ambon Bay
9,2,3,0,74.4,aug,Ambon Bay
9,2,3,-51,187.2,aug,Ambon Bay
10,2,4,0,63.2,aug,Ambon Bay
10,2,4,-50,68,aug,Ambon Bay
11,2,5,0,62,aug,Ambon Bay
11,2,5,-50,72,aug,Ambon Bay
12,2,6,0,64,aug,Ambon Bay
12,2,6,-50,78.8,aug,Ambon Bay
13,3,1,-50,66.8,aug,Ambon Bay
13,3,1,0,68.4,aug,Ambon Bay
14,3,2,-50,57.6,aug,Ambon Bay
14,3,2,0,74.8,aug,Ambon Bay
15,3,3,0,61.2,aug,Ambon Bay
15,3,3,-50,68.8,aug,Ambon Bay
16,3,4,-52,64.8,aug,Ambon Bay
16,3,4,0,72,aug,Ambon Bay
17,3,5,-50,64.8,aug,Ambon Bay
17,3,5,0,80.8,aug,Ambon Bay
18,3,6,0,63.2,aug,Ambon Bay
18,3,6,-50,70.8,aug,Ambon Bay
